Iteration,Method,Time_ms,Residual
140,GaussSeidel,11.844,7.76916e-11
140,SymmetricGS,122.786,5.66105e-16
140,SymmetricGS_Chebyshev,153.782,1.03477e-07
141,Jacobi,91.0131,5.66105e-16
141,GaussSeidel,12.0413,7.76916e-11
141,SymmetricGS,124.566,5.66105e-16
141,SymmetricGS_Chebyshev,154.749,1.43912e-08
142,Jacobi,91.6711,5.66105e-16
142,GaussSeidel,11.755,7.76916e-11
142,SymmetricGS,125.1,5.66105e-16
142,SymmetricGS_Chebyshev,156.774,7.53969e-08
143,Jacobi,93.5476,5.66105e-16
143,GaussSeidel,11.7892,7.76916e-11
143,SymmetricGS,126.038,5.66105e-16
143,SymmetricGS_Chebyshev,157.645,2.47881e-08
144,Jacobi,93.5498,5.66105e-16
144,GaussSeidel,11.9126,7.76916e-11
144,SymmetricGS,127.31,5.66105e-16
144,SymmetricGS_Chebyshev,158.517,5.20434e-08
145,Jacobi,93.2988,5.66105e-16
145,GaussSeidel,11.805,7.76916e-11
145,SymmetricGS,127.809,5.66105e-16
145,SymmetricGS_Chebyshev,158.704,2.86161e-08
146,Jacobi,94.5351,5.66105e-16
146,GaussSeidel,11.7942,7.76916e-11
146,SymmetricGS,128.547,5.66105e-16
146,SymmetricGS_Chebyshev,160.711,3.36814e-08
147,Jacobi,94.9277,5.66105e-16
147,GaussSeidel,11.8116,7.76916e-11
147,SymmetricGS,129.269,5.66105e-16
147,SymmetricGS_Chebyshev,160.429,2.80137e-08
148,Jacobi,96.2591,5.66105e-16
